Antibiotic_class,GZC4,SCC7,YGC26,YNC10,YGC3,SCC18,YNC18,GZC39,YNC4,SCC27,YNC8,GZC10,YNC11,SCC9,YNC34,GZC45,YNC22,SCC6,YGC36,GZC7,YNC39,YNC40,GZC41,SCC4,GZC26,SCC12,YNC12,GZC9,GZC14,YNC31,SCC1,YGC31,YGC8,SCC5,YGC16,GZC1,YGC9,GZC37,YGC2,SCC11,GZC42,GZC46,YGC41,SCC22,SCC29,YGC18,SCC25,SCC17,YGC11,YNC17,SCC10,YNC37,YGC12,SCC3,YNC45,YGC47,GZC38,GZC36,YNC43,GZC33,SCC28,SCC23,YGC39,YGC51,SCC19,YNC9,YGC4,GZC12,GZC43,YNC46,SCC20,YNC35,SCC24,YGC15,YNC32,SCC16,GZC44,YGC43,YGC38,YNC24,YGC52,GZC40,YGC27,SCC15,YNC29,YGC48,GZC27,YGC45,GZC18,SCC8,GZC30,GZC32,GZC5,YNC44,GZC13,SCC30,YGC5,YGC50,GZC25,YNC47,YNC41,YGC53,GZC20,GZC3,YNC26,YNC7,YNC36,YGC14,YGC7,YGC1,SCC26,SCC21,SCC14,YNC3,YNC25,YNC15,SCC13,YGC25,GZC16,SCC2
MLS,412,1798,1252,3596,128,186,70,100,856,4976,548,1816,218,2744,80,184,992,484,2500,298,726,594,78,46,180,1666,158,2454,28,374,250,1042,1732,320,4980,116,3182,288,3418,1264,222,1388,422,2194,1126,2274,2818,16,260,2460,4360,142,914,132,820,2050,722,1236,596,162,236,2556,0,3334,3128,1052,2210,274,212,1164,148,1184,360,542,376,456,104,100,22,118,76,10,554,34,1472,768,12,650,694,42,334,48,1538,464,122,674,1838,158,160,36,488,1054,26,24,152,366,1450,928,918,860,4622,4626,110,180,2116,456,8,296,246,128
MLS,90,1422,580,740,16,206,12,34,32,770,12,572,224,960,8,16,66,1214,32,0,6,34,38,98,64,856,4,784,12,94,186,474,374,480,0,0,2,62,6,3310,84,46,270,1454,290,40,756,28,6,366,880,0,46,686,60,2,122,68,4,12,590,1344,0,24,854,10,2,10,24,940,88,356,20,272,94,312,0,4,0,0,0,6,0,318,16,2,10,30,632,2160,8,4,142,116,74,150,120,0,6,10,38,2,10,16,44,88,1066,72,170,96,894,866,1282,6,14,18,10,332,2,314
MLS,8,538,4,34,2,32,0,0,8,0,4,0,4,6,0,0,0,20,0,0,0,0,16,8,0,752,0,6,0,0,30,0,2,26,0,0,0,4,0,124,18,2,2,1310,0,0,0,0,0,0,4,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,2,48,0,0,92,0,0,0,0,0,0,0,18,0,0,0,0,0,34,0,2,2,0,4,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,52,0,0,0,2,0,0,488
MLS,38,886,570,504,330,230,428,6,246,324,144,168,30,248,118,10,48,78,176,328,34,718,110,312,94,1126,200,264,12,112,176,100,958,326,1258,620,16,134,68,278,40,620,104,1170,102,526,122,634,1160,630,624,230,38,320,510,952,1100,598,504,36,4,180,2,260,320,104,70,274,14,96,242,184,28,68,436,292,36,6,2,82,986,2,340,104,152,238,8,340,104,78,398,28,140,58,208,46,144,1076,100,0,570,242,2,136,92,122,134,182,52,70,314,228,88,720,130,444,1760,74,48,484
MLS,3050,5508,4004,5682,4542,1224,2212,1052,2240,5520,4172,3996,2876,6762,3764,12962,2894,1052,7320,10400,3374,1730,1016,1556,1606,3302,2548,3828,508,9062,2342,5338,3466,2316,2886,3620,9284,3110,4266,9548,2566,9492,3484,5146,3474,4750,5650,1382,3186,2812,8008,1060,2214,1944,4042,5750,4870,10860,2918,554,3434,6316,10010,1756,7324,5980,2460,1844,1676,7172,1014,2966,6052,3534,2170,1392,728,7662,8854,1858,5962,2524,1286,1722,3132,1638,2024,1824,1496,4006,1124,464,1948,23070,2198,5090,3116,462,878,1720,1454,1976,3438,1366,1922,5784,7278,3238,3048,4364,7118,7658,3948,1612,2692,3194,1178,4028,748,4962
MLS,12,24,198,12,0,4,456,16,116,76,6,4,2,44,36,0,14,12,4,0,10,74,24,6,0,42,14,30,6,2,18,276,2,4,4,0,480,10,0,172,10,4,112,54,50,2,70,0,1186,26,102,12,2,22,2,176,4,0,4,0,10,62,0,4,56,0,2,2,8,12,16,14,14,526,10,2,126,0,0,30,34,50,0,12,44,50,12,400,0,28,4,0,40,2,22,16,36,0,2,0,88,2,72,0,12,6,6,12,14,802,192,74,4,14,28,42,50,308,0,10
MLS,700,284,38,264,6,18,180,6,76,458,514,200,36,288,2110,52,66,76,98,8,46,40,22,16,26,312,704,354,2,1786,60,42,34,102,10,14,408,142,112,522,188,1316,48,204,544,40,192,118,4,176,628,1206,2,16,3886,194,690,1212,192,6,34,296,72,280,344,740,30,30,8,494,60,78,30,46,52,50,102,6,0,1086,64,62,6,94,130,80,62,948,46,172,6,26,54,5616,8,108,74,2,4,0,30,32,112,14,1028,642,3872,76,30,36,142,446,246,160,14,90,2,30,164,1526
MLS,314,1266,8166,1468,226,2308,826,6862,540,1172,256,602,306,1046,1894,26,4710,184,332,2352,6516,5746,614,3374,30,954,300,682,136,2114,1710,4018,1328,2422,2280,1790,150,344,750,1490,382,86,3536,1330,908,692,1074,1538,1290,2548,1080,6250,734,2282,1216,5102,726,86,8868,46,3020,1048,4,1048,836,248,218,900,68,248,572,1856,630,3666,1830,1566,196,488,234,990,1354,400,142,382,10846,828,238,456,3526,604,1064,230,2230,2390,280,436,384,592,3686,228,5114,198,560,206,1306,318,176,2384,158,5374,898,1438,488,680,13646,272,1082,2724,2818,140
MLS,590,528,898,6154,198,1450,2036,138,866,700,132,302,918,726,2266,16,2168,184,624,4056,2548,2216,442,1190,64,512,1092,546,76,768,1870,722,1654,1074,1594,2034,148,1694,816,1640,526,246,648,1074,792,1446,1198,1726,776,1022,496,1554,646,730,2708,482,344,368,1352,40,756,654,2,98,524,696,580,430,60,474,1044,1548,664,384,1968,1398,210,50,66,2900,814,136,1108,374,2510,232,182,128,2198,972,2108,114,292,3280,306,446,230,2408,1930,1496,1806,858,64,66,2084,990,418,214,850,622,406,1068,650,1234,2598,1216,1158,598,2150,210
Rifamycin,504,426,366,176,212,128,24,330,162,26,40,166,906,96,52,56,164,62,144,8,290,34,376,36,84,448,12,472,124,260,594,600,30,186,20,68,18,276,66,984,516,70,354,978,110,140,412,134,38,84,18,34,494,508,0,36,56,124,34,32,232,48,2,402,82,94,52,158,160,956,126,18,1038,640,42,266,60,150,78,18,18,76,30,276,10,8,166,12,32,738,30,478,184,6,416,1330,136,14,78,226,8,36,44,2020,102,82,320,230,756,890,8,68,716,84,316,14,12,524,4,466
Rifamycin,10,0,28,0,0,0,0,6,0,0,0,2,4,0,0,0,4,0,0,2,0,0,18,0,0,0,0,2,2,0,0,28,0,0,0,0,0,18,0,0,4,0,72,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,6,0,0,0,84,2,0,0,0,10,0,0,10,2,0,0,0,6,0,0,0,0,10,0,0,2,0,2,2,0,0,0,0,0,4,0,0,0,4,0,124,0,0,0,0,0,0,0,40,0,0
Rifamycin,70,234,170,4,10,26,126,22,44,0,14,64,828,122,0,2,14,8,22,14,42,2,40,32,10,284,0,28,10,184,642,192,0,336,8,6,6,22,4,524,70,16,262,492,32,20,52,342,2,6,4,4,10,398,0,2,6,40,0,4,318,2,0,12,24,948,12,8,0,304,82,4,258,146,2,200,0,16,0,0,0,4,6,1072,0,4,6,26,0,1190,26,28,14,0,184,108,8,0,18,6,4,18,2,10,14,360,40,8,28,130,4,4,1262,222,32,6,8,230,0,3342
Rifamycin,42,62,194,0,8,6,0,32,26,0,8,2,88,8,10,2,0,8,80,0,0,0,26,2,2,56,2,20,16,4,108,226,4,18,2,0,4,28,12,84,20,2,272,122,520,46,0,30,6,10,0,2,60,362,2,10,12,0,14,0,404,2,0,38,4,4,8,0,32,18,12,6,0,370,14,40,2,20,8,2,2,234,2,16,0,0,126,4,0,92,0,40,8,4,20,20,12,0,2,0,0,6,460,4,10,4,0,52,66,286,2,2,94,12,2,2,0,446,0,206
Rifamycin,94,60,192,0,14,4,2,54,14,0,20,0,64,6,0,2,46,2,12,0,6,14,234,8,6,102,0,16,8,2,54,256,6,38,4,6,4,92,8,42,62,2,548,52,750,18,614,36,40,4,0,0,34,116,6,12,0,0,26,4,1076,4,0,62,10,0,8,10,20,160,62,32,50,346,54,44,8,6,52,0,4,62,2,388,16,0,78,2,0,42,2,32,20,0,18,1710,26,8,10,0,0,12,68,6,4,4,6,50,24,346,0,0,62,4,4,0,8,518,0,34
Rifamycin,0,76,28,0,2,8,0,0,6,0,0,2,6,4,2,6,0,4,0,0,0,0,0,0,26,62,0,4,0,10,182,10,0,26,0,0,0,56,0,64,0,0,20,246,0,0,2,8,2,8,0,0,0,476,2,0,0,2,6,34,1454,2,0,0,2,0,0,0,0,4,12,0,0,60,4,46,2,0,0,4,0,0,0,18,0,0,0,0,0,88,0,2,0,0,2,10,0,0,0,0,0,0,0,0,0,0,2,20,0,12,0,0,98,0,0,0,2,16,0,4
Rifamycin,24,14,0,0,0,2,0,0,0,0,0,0,38,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,2,0,8,0,12,2,0,0,2,0,0,0,0,0,0,0,0,6,30,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,36,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,48,0,0,0,2,0,0,0,0,0,0,0
Diaminopyrimidine,120,1848,308,2,2,190,4,30,50,0,8,294,90,438,6,0,0,108,14,0,0,0,86,154,4,1982,0,70,16,214,1208,412,4,1136,0,8,2,46,0,1392,88,0,414,3140,38,2,10,1112,12,50,28,0,0,1372,4,0,2,0,6,0,422,0,22,0,70,30,0,236,8,252,276,2,2,320,14,646,154,132,0,4,0,8,0,3208,0,0,4,20,0,2578,60,6,114,0,18,338,0,0,20,0,0,2,0,414,48,8,2,10,26,302,0,0,4524,76,0,4,32,542,2,2540
Diaminopyrimidine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diaminopyrimidine,1142,208,68,264,114,178,32,82,246,164,100,224,146,306,14,152,140,22,80,36,90,32,304,148,424,128,172,262,84,36,68,144,34,194,38,80,212,354,214,292,896,1208,62,588,108,84,432,116,18,1012,686,6,100,90,254,262,58,1250,30,170,26,222,0,162,408,142,80,328,186,788,28,26,142,98,8,34,2192,4,24,12,6,8,44,38,92,70,48,26,64,24,14,80,66,8,52,42,96,0,30,7578,42,36,10,280,36,180,2226,66,210,102,36,1044,30,48,92,92,68,108,6,20
Diaminopyrimidine,10,784,994,110,4,138,2,4,12,8,6,2,42,74,14,2,2,48,4,0,0,52,10,34,0,770,0,2,6,92,484,1334,4,318,0,0,10,6,2,3198,4,0,1122,978,1964,2,590,146,0,6,8,0,6,1154,4,0,0,0,2,0,5370,14,0,6,58,0,0,0,4,126,282,0,778,2342,12,328,2,2,6,4,0,0,6,1720,0,0,0,68,0,996,2,6,12,2,32,3060,14,2,2,0,28,0,0,28,8,2,2,14,18,3094,0,22,2442,54,0,0,46,1394,2,3614
Diaminopyrimidine,0,24,8,8,0,0,128,4,8,0,22,14,674,12,0,0,0,0,2,0,0,0,8,0,0,30,0,4,4,2,16,8,0,24,0,0,0,2,0,50,12,0,18,6,20,10,2,38,0,4,0,2,10,38,0,0,0,0,6,2,0,18,18,4,4,606,2,2,6,54,8,0,96,6,52,16,2,2,0,0,2,0,8,436,2,0,4,326,0,42,2,4,2,0,4,1624,6,0,0,0,0,4,2,0,8,280,10,0,4,6,0,0,106,446,42,0,0,4,0,2130
Diaminopyrimidine,14,398,316,0,0,40,2,0,64,8,8,2,44,22,4,0,0,28,0,0,0,0,30,8,0,348,0,0,0,28,444,248,0,92,0,0,0,24,0,454,22,2,150,1384,338,0,4,38,16,12,4,2,0,2768,0,0,0,2,6,0,2514,42,0,4,24,0,0,0,0,32,64,0,20,132,64,220,0,0,0,0,0,0,0,122,0,0,0,2,0,352,0,0,2,0,2,288,2,0,0,72,0,0,0,0,6,0,2,0,2,176,4,6,302,98,0,0,44,344,0,68
Diaminopyrimidine,0,2,2,4,4,0,16,0,10,0,2,4,92,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,8,0,0,4,0,0,0,0,0,4,4,0,2,2,4,0,4,10,0,2,0,0,0,10,0,0,0,0,0,0,0,2,2,2,0,106,0,0,4,14,2,0,20,0,6,2,0,2,0,0,0,0,0,88,0,0,0,52,0,4,0,2,0,0,2,314,2,0,0,0,0,0,0,0,0,40,4,2,4,2,0,0,28,66,4,0,0,0,0,314
Diaminopyrimidine,18,416,264,0,0,38,2,0,46,2,8,2,50,20,0,0,0,16,0,0,0,0,20,6,0,244,0,0,0,30,370,170,2,60,0,0,0,18,0,382,24,0,136,1208,308,2,4,30,8,8,14,0,0,2438,0,0,4,0,6,0,2276,40,4,0,14,4,0,0,0,26,44,2,14,116,44,162,0,0,2,0,0,4,0,108,0,0,6,16,0,268,0,0,0,0,0,266,4,0,0,8,0,2,0,0,14,4,2,2,14,164,4,8,312,100,0,0,24,230,0,76
Diaminopyrimidine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diaminopyrimidine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diaminopyrimidine,58,772,846,1472,14,128,100,2,16,692,38,250,210,778,6,0,60,178,158,12,24,24,162,56,58,864,4,370,64,28,418,1262,34,402,4,6,22,104,46,274,58,28,928,1126,1892,64,868,172,16,174,856,14,62,1062,8,4,6,188,118,88,2616,838,6,26,612,40,4,8,48,312,266,44,592,1600,56,190,2,68,10,6,4,1314,0,1596,170,2,696,4,64,284,12,12,188,6,188,3556,6,12,4,28,10,4,1894,2,2,38,12,24,168,2056,876,690,1344,38,34,38,28,1098,8,2246
Diaminopyrimidine,68,230,12,190,0,16,0,0,94,212,2,162,12,220,0,0,4,94,14,6,0,0,26,30,10,220,0,98,2,34,280,42,0,156,0,0,0,56,0,430,66,0,40,346,94,0,198,114,0,64,280,18,0,1816,0,0,14,0,6,0,20,238,0,0,164,0,0,2,0,12,32,16,4,24,0,134,6,2,0,4,0,2,0,458,0,0,4,0,52,508,2,4,50,0,82,56,4,0,0,0,0,0,6,0,10,4,2,0,0,18,364,182,490,4,0,4,10,60,2,162
Diaminopyrimidine,2,394,12,284,0,8,0,0,0,1394,0,34,8,76,2,0,6,248,4,0,6,0,12,0,2,78,0,6,0,116,48,96,22,12,0,0,0,4,0,676,6,20,0,210,12,0,108,0,0,232,24,6,6,52,2,0,0,4,0,0,8,76,0,0,48,10,0,0,0,16,14,8,6,2,6,70,2,0,0,0,0,2,0,34,0,0,0,12,4,584,4,0,20,0,10,6,62,0,0,5192,0,0,0,0,0,0,0,12,26,2,78,38,6,4,4,0,0,6,0,20
Diaminopyrimidine,168,2514,1536,1082,768,1022,92,8,172,156,16,236,634,316,54,0,398,300,92,60,220,422,82,602,6,1006,106,66,18,456,790,1658,24,948,6,6,16,78,16,4904,70,0,1726,1640,2296,66,766,1442,84,212,292,114,18,1308,60,10,6,6,38,4,2058,260,10,50,780,130,0,64,16,714,258,74,1668,1922,98,1086,24,2790,608,62,622,4,28,1082,346,4,6,4,52,3464,8,26,78,2,74,2516,40,46,20,46,472,92,4,138,68,302,2,16,104,2718,446,284,2762,10,172,10,866,1756,0,4106
Diaminopyrimidine,104,86,94,1580,6,2,44,6,184,22,16,28,26,10,2,0,2,10,20,2,0,0,82,0,4,62,0,24,4,2,36,66,2,8,0,4,12,48,2,148,158,4,98,220,12,20,8,8,0,426,38,0,68,36,0,2,24,0,4,4,50,22,0,6,18,2,4,22,2,4,12,2,4,60,8,250,0,6,2,0,0,0,0,28,0,0,0,0,0,36,20,8,14,0,144,88,4,0,0,20,0,2,2,22,4,0,2,2,28,146,10,4,72,28,12,0,0,124,0,200
Tetracycline,68,2546,78,1302,8,64,2,16,58,3944,4,1170,2,3820,2,14,20,336,20,4,6,24,106,266,36,1754,2,1770,22,0,122,20,96,764,10,2,32,42,28,1582,236,22,8,2436,1222,28,2674,12,2,1102,6466,2,34,12,10,0,114,72,0,98,78,4928,0,12,3528,0,2,2,20,22,114,70,148,10,16,358,6,38,0,40,2,14,16,38,0,14,16,90,412,182,32,4,820,0,52,754,338,0,14,8,20,2,12,0,24,2,208,146,6,6,4612,4598,42,32,70,2,16,44,0,124
Fosfomycin,2,0,2,0,0,0,0,8,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0
Fosfomycin,0,0,4,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,28,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,34,0,0,2,2,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,6
Fosfomycin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,8,0,0,2,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
Diaminopyrimidine,810,1290,1626,306,1712,228,140,42,1266,64,2270,214,2194,196,1112,4720,5962,124,4268,10,1486,36,94,426,1146,434,1282,108,52,1982,732,1090,286,492,1030,30,3902,526,820,2064,574,3548,1700,1688,590,638,604,270,648,358,74,568,748,914,3262,1922,2132,4064,1274,248,1902,148,4992,5152,168,6382,182,152,362,3550,162,1770,2772,1102,1032,464,92,408,5336,604,142,14,90,352,234,370,2,2564,12,2088,14,18,96,778,462,1106,8442,10,22,2406,30,104,8,924,720,5464,3560,5586,338,2238,56,114,1996,316,936,952,30,1706,4,1092
Beta-lactam,0,0,6,0,0,0,0,10,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,6,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,4,2,2,12,0,2,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0
Beta-lactam,0,0,2,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,4360,372,0,972,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,88,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
MLS,0,442,0,30,4,28,0,0,50,0,4,0,4,6,0,0,0,10,0,0,0,0,4,6,0,502,0,0,0,0,48,0,0,26,0,0,0,0,0,76,4,0,8,1400,0,0,2,0,0,0,8,0,0,152,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,104,2,0,72,0,0,0,0,0,2,0,10,0,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,2,0,0,438
Multidrug,2240,744,3392,176,530,220,136,1076,898,200,1260,450,1686,220,150,144,514,78,1902,146,338,128,2038,404,734,428,586,386,570,200,674,3332,342,400,572,428,2558,1314,634,1146,2052,722,4502,2566,100,826,212,246,178,452,248,996,1438,2752,1570,1962,784,522,240,230,3606,376,2,1808,288,1062,324,854,316,1348,114,80,672,3380,112,378,326,380,258,50,60,688,140,344,126,298,1050,198,88,848,372,950,768,20,986,366,290,136,278,118,62,220,674,1016,334,558,1562,758,1284,2472,400,316,520,54,120,292,60,4786,136,228
MLS,658,3420,12440,920,11862,18938,21982,7048,16702,1256,17178,1494,2664,4714,27966,472,20874,574,13114,15656,10116,34428,500,12156,852,4108,11910,1144,260,9446,12806,5330,13230,11322,15604,11226,12162,2956,7844,16466,542,4576,5922,2626,4196,18980,2856,13824,10514,6934,1074,10988,1446,5510,18994,14312,4338,4788,19914,358,5128,2168,6508,19954,2452,11296,17996,7304,140,3244,9676,17962,16646,5400,21264,13094,1426,6042,13208,22898,12940,3690,10250,4420,27788,4476,2738,8010,13730,6190,13422,844,2096,8288,890,2130,19952,15862,13826,2358,28334,10808,2646,1252,19010,10512,4080,12468,7606,10036,3224,2024,2794,12770,20508,22638,18556,5818,15858,1790
Rifamycin,730,22,8,2,18,0,10,366,530,0,36,12,112,0,2,6,84,0,2,0,0,46,682,0,6,2,0,30,54,2,14,8,8,2,2,28,0,336,20,0,1206,0,12,4,0,2,0,0,16,0,0,0,64,16,2,10,192,2,4,4,0,0,2,14,2,4,12,14,34,10,0,8,0,12,4,8,16,14,16,0,4,462,10,12,10,2,336,0,0,20,4,144,36,0,84,4,16,0,6,0,10,16,550,10,6,2,4,34,78,6,0,2,2,2,0,0,0,4,0,0
Rifamycin,1084,76,234,152,238,2,658,842,126,0,152,28,1644,6,10,48,294,0,94,10,18,102,1004,4,106,40,6,142,438,24,76,320,40,4,34,398,192,992,134,5388,1086,66,466,206,564,114,4,18,272,92,2,40,434,144,20,116,596,40,80,62,234,28,5204,410,4,1082,52,816,308,1108,12,32,248,310,596,22,372,460,90,18,3566,2974,348,36,106,20,2178,6180,26,58,56,1188,842,4,656,2164,236,12,64,0,30,1312,3204,1160,294,632,464,132,304,296,6,2,182,2910,214,738,0,456,398,20
Tetracycline,5572,5408,6770,8180,4440,15918,16382,7646,13206,4278,17514,4842,10066,7594,16464,740,9148,1544,12480,18714,19826,10856,4442,8926,23892,5446,17094,5780,2392,5616,12280,6854,13742,9136,15540,12850,14756,6296,8578,23752,5814,10460,3766,9026,8440,8036,5800,10066,7970,11880,5152,15210,3900,5396,28660,14736,6970,6616,12816,28830,2114,5800,11790,10432,7440,18626,10336,4978,20088,10380,21878,12200,16240,3876,15400,10038,6174,4514,4174,16292,14096,4452,12606,3142,8346,3318,3896,15840,14138,5646,10410,5298,4944,10642,4302,9614,5188,19324,12460,4108,7886,15618,4416,1732,13742,15522,15814,4192,5230,4610,5856,7616,2264,15138,11266,16870,8430,3438,15014,8252
Tetracycline,376,20,278,0,310,10,10,1520,98,0,152,32,844,2,116,62,166,0,296,16,14,78,252,2,498,6,10,200,232,16,80,486,38,0,32,294,50,740,106,14,438,90,462,164,2,462,2,0,126,4,0,30,896,86,14,160,308,48,26,346,8,0,2,1196,0,12,118,456,322,72,8,24,0,390,48,12,454,330,284,6,38,894,82,16,26,16,1058,10,4,10,22,790,658,4,964,8,190,40,80,0,30,236,908,1080,238,22,98,276,430,224,0,8,14,24,10,6,4,598,26,14
Tetracycline,806,138,362,10,110,12,8,662,282,0,42,8,454,2,22,26,52,4,40,26,2,16,554,6,10,80,0,90,140,4,34,280,46,14,14,134,18,400,80,22,1316,16,266,266,12,192,6,4,136,8,0,14,514,46,10,70,94,10,16,14,40,0,4,416,0,4,64,80,134,298,22,14,0,334,28,20,84,170,154,14,18,228,104,20,6,10,330,6,0,24,42,410,208,2,408,4,130,12,28,0,4,138,140,84,30,12,20,82,234,346,0,0,80,12,16,2,2,540,6,48
Tetracycline,122,146,538,32,54,400,70,228,78,16,126,188,82,186,700,22,358,18,120,16,140,2610,120,534,2,200,22,96,62,10,320,134,32,432,44,102,10,68,34,330,170,0,208,54,184,238,40,672,38,74,108,12,166,214,54,46,66,2,744,0,134,34,24,118,156,18,32,30,60,30,632,540,86,122,606,598,36,68,46,524,16,64,20,204,914,14,120,78,78,146,20,294,162,0,260,50,62,54,112,0,1888,60,18,144,464,16,26,52,136,290,22,38,50,60,1116,38,930,136,40,22
Nucleoside,16,744,20,0,0,74,0,36,0,0,0,346,0,324,0,0,0,84,0,0,0,0,0,128,0,770,0,42,4,112,752,82,0,832,0,4,0,0,0,1204,0,0,40,100,20,0,6,1038,0,0,10,0,0,618,0,0,0,0,0,0,60,0,0,0,68,0,0,198,0,40,220,0,0,14,0,440,186,0,0,2,0,0,0,2024,0,0,0,0,0,1518,140,8,202,0,14,222,0,0,16,0,0,0,0,386,20,0,0,0,0,12,0,0,3724,0,0,0,20,78,0,1780
Nucleoside,14,1526,1210,748,262,226,4,2,8,1544,2,568,62,1584,6,0,156,388,88,0,292,82,12,42,2,854,0,372,10,446,604,682,30,286,8,4,10,24,2,1724,8,10,628,1126,710,66,1312,28,88,1218,1662,12,32,500,0,0,6,10,2,8,734,2124,0,0,1956,2,2,8,8,90,142,14,364,386,4,336,8,2706,246,6,700,4,8,276,4,4,0,2,56,1312,10,0,328,4,252,452,98,28,4,22,34,46,0,4,16,8,2,16,40,650,1852,2886,644,26,14,4,8,834,0,854
Nucleoside,6,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,1016,0,0,0,0,6,0,0,0,0,4,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,188,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0
Glycopeptide,6,14,14,2,6,0,0,0,6,12,4,6,4,8,0,0,10,6,2,0,2,0,8,0,0,6,0,12,4,2,0,32,8,2,2,0,10,16,0,92,26,0,44,60,4,6,22,0,6,118,14,0,2,6,0,4,0,6,0,0,98,4,0,14,2,2,2,0,4,0,0,0,0,16,0,0,0,10,0,0,0,2,14,6,2,0,6,0,0,4,0,12,12,0,26,2,10,2,4,0,4,4,0,4,0,0,0,8,14,18,6,18,2,12,0,0,0,18,0,2
